name,description,price,category,model,colorway,release_date
Nike Air Max 90 Essentials,Iconic cushioned running shoe,130.0,running,Air Max 90,Olive Green,2024-01-15
Nike Air Jordan 1 Retro,Classic basketball sneaker,170.0,basketball,Air Jordan 1,Black/Red,2024-02-20
Nike Dunk Low,Versatile skate shoe,110.0,skate,Dunk Low,White/Navy,2024-01-10
Nike Air Force 1,Timeless lifestyle shoe,90.0,lifestyle,Air Force 1,White,2023-12-01
Nike React Infinity,Training running shoe,160.0,running,React Infinity,Geometric Print,2024-03-05
Nike SB Dunk Low Pro,Professional skate shoe,140.0,skate,SB Dunk Low,Black/White,2024-02-14
Nike Blazer Mid,Retro basketball shoe,120.0,basketball,Blazer Mid,Red/White,2024-01-25
Nike Air Zoom Pegasus,Daily running shoe,130.0,running,Air Zoom Pegasus,Blue/Silver,2024-03-10
Nike LeBron James XX,Premium basketball shoe,185.0,basketball,LeBron XX,Purple/Gold,2024-02-28
Nike Revolution 7,Budget running shoe,70.0,running,Revolution 7,Gray/Orange,2024-01-05
